State,CD,Name,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008,Dem,GOP,PVI,,,,,,,,,
NC,12,NC12r,"Adams, Alma",(D),78.5,20.8,78,21,79%,21%,25.92,,,,,,,,,
NC,13,NC13r,"Holding, George",(R),43.5,55.4,45,54,45%,55%,8.28,,,,,,,,,
ND,1,ND01,"Cramer, Kevin",(R),38.9,58.7,44.6,53.3,43%,57%,10.29,,,,,,,,,
NE,01,NE01,"Fortenberry, Jeff",(R),40.8,57.4,44.2,54.3,43%,57%,9.79,,,,,,,,,
NE,02,NE02,"Ashford, Brad",(D),45.7,52.9,50,48.8,48%,52%,4.52,,,,,,,,,
NE,03,NE03,"Smith, Adrian",(R),27.8,70.2,31.1,67.1,30%,70%,22.98,,,,,,,,,
NH,01,NH01,"Guinta, Frank",(R),50.2,48.6,52.8,46.4,52%,48%,0.98,,,,,,,,,
NH,02,NH02,"Kuster, Annie",(D),54.2,44.5,56,43.1,56%,44%,2.71,,,,,,,,,
NJ,01,NJ01,"Norcross, Donald",(D),65.1,33.8,64.7,34.2,66%,34%,12.62,,,,,,,,,
NJ,02,NJ02,"LoBiondo, Frank",(R),53.5,45.4,53.2,45.5,54%,46%,1,,,,,,,,,
NJ,03,NJ03,"MacArthur, Tom",(R),51.8,47.2,51.1,47.7,52%,48%,0.98,,,,,,,,,
NJ,04,NJ04,"Smith, Chris",(R),44.7,54.2,45.3,53.6,46%,54%,7.5,,,,,,,,,
NJ,05,NJ05,"Garrett, Scott",(R),47.9,51,48.5,50.5,49%,51%,4.29,,,,,,,,,
NJ,06,NJ06,"Pallone, Frank",(D),61.4,37.4,58.4,40.5,61%,39%,7.6,,,,,,,,,
NJ,07,NJ07,"Lance, Leonard",(R),46.3,52.5,47.2,51.6,47%,53%,5.68,,,,,,,,,
NJ,08,NJ08,"Sires, Albio",(D),78.3,20.7,73.2,26,76%,24%,23.44,,,,,,,,,
NJ,09,NJ09,"Pascrell, Bill",(D),68.3,30.8,64,35.2,67%,33%,13.72,,,,,,,,,
NJ,10,NJ10,"Payne, Donald",(D),87.9,11.5,84.9,14.6,87%,13%,33.88,,,,,,,,,
NJ,11,NJ11,"Frelinghuysen, Rodney",(R),46.6,52.4,47,52.1,47%,53%,5.75,,,,,,,,,
NJ,12,NJ12,"Watson Coleman, Bonnie",(D),66.5,32.4,65.7,33.3,67%,33%,13.8,,,,,,,,,
NM,01,NM01,"Lujan Grisham, Michelle",(D),55.3,39.6,59.7,39,59%,41%,6.4,,,,,,,,,
NM,02,NM02,"Pearce, Steve",(R),44.9,51.7,48.4,50.2,48%,52%,5.2,,,,,,,,,
NM,03,NM03,"Lujan, Ben",(D),57.5,38.7,61.2,37.5,61%,39%,7.9,,,,,,,,,
NV,01,NV01,"Titus, Dina",(D),65.6,32.4,64.5,33,67%,33%,13.55,,,,,,,,,
NV,02,NV02,"Amodei, Mark",(R),44.8,52.9,49.4,48.2,48%,52%,4.77,,,,,,,,,
NV,03,NV03,"Heck, Joe",(R),49.5,48.7,53.5,44.6,52%,48%,0.53,,,,,,,,,
NV,04,NV04,"Hardy, Cresent",(R),54.4,43.7,56.4,41.4,57%,43%,3.56,,,,,,,,,
NY,01,NY01,"Zeldin, Lee",(R),49.6,49.1,51,48,51%,49%,2.11,,,,,,,,,
NY,02,NY02,"King, Peter",(R),51.6,47.2,51,48,52%,48%,1.13,,,,,,,,,
NY,03,NY03,"Israel, Steve",(D),50.8,48.2,54,46,53%,47%,0.34,,,,,,,,,
NY,04,NY04,"Rice, Kathleen",(D),56.3,42.8,55,44,56%,44%,3.18,,,,,,,,,
NY,05,NY05,"Meeks, Gregory",(D),90.6,9.1,86,14,88%,12%,35.43,,,,,,,,,
NY,06,NY06,"Meng, Grace",(D),67.8,31,63,36,66%,34%,13.13,,,,,,,,,
NY,07,NY07,"Velazquez, Nydia",(D),88.4,10.3,84,15,87%,13%,34.2,,,,,,,,,
NY,08,NY08,"Jeffries, Hakeem",(D),89.2,10.2,86,14,88%,12%,34.86,,,,,,,,,
NY,09,NY09,"Clarke, Yvette",(D),85.2,13.9,84,15,85%,15%,32.41,,,,,,,,,
NY,10,NY10,"Nadler, Jerrold",(D),73.6,25.1,76,23,76%,24%,22.67,,,,,,,,,
NY,11,NY11,"Donovan, Dan",(R),51.6,47.3,48,51,50%,50%,2.67,,,,,,,,,
NY,12,NY12,"Maloney, Carolyn",(D),76.9,21.5,80,19,79%,21%,26.48,,,,,,,,,
NY,13,NY13,"Rangel, Charlie",(D),94.6,4.6,93,6,95%,5%,41.65,,,,,,,,,
NY,14,NY14,"Crowley, Joe",(D),80.7,18.3,76,23,79%,21%,26.14,,,,,,,,,
NY,15,NY15,"Serrano, Jose",(D),96.7,3,95,5,96%,4%,42.99,,,,,,,,,
NY,16,NY16,"Engel, Eliot",(D),73.7,25.5,73,26,74%,26%,21.02,,,,,,,,,
NY,17,NY17,"Lowey, Nita",(D),57.1,41.9,58,41,58%,42%,5.13,,,,,,,,,
NY,18,NY18,"Maloney, Sean",(D),51.4,47.1,52,47,52%,48%,0.65,,,,,,,,,
NY,19,NY19,"Gibson, Chris",(R),52.1,45.9,53,45,54%,46%,0.62,,,,,,,,,
NY,20,NY20,"Tonko, Paul",(D),59.2,38.8,58,40,60%,40%,6.8,,,,,,,,,
NY,21,NY21,"Stefanik, Elise",(R),52.2,46.1,52,47,53%,47%,0.19,,,,,,,,,
NY,22,NY22,"Hanna, Richard",(R),48.8,49.2,49,49,50%,50%,3.1,,,,,,,,,
NY,23,NY23,"Reed, Tom",(R),48.4,49.6,50,49,50%,50%,3.05,,,,,,,,,
NY,24,NY24,"Katko, John",(R),57,41.1,56,42,58%,42%,4.62,,,,,,,,,
NY,25,NY25,"Slaughter, Louise",(D),58.8,39.4,59,40,60%,40%,6.74,,,,,,,,,
NY,26,NY26,"Higgins, Brian",(D),63.9,34.3,63,35,65%,35%,11.68,,,,,,,,,
NY,27,NY27,"Collins, Chris",(R),42.9,55.3,44,54,44%,56%,8.71,,,,,,,,,
OH,01,OH01,"Chabot, Steve",(R),46.3,52.4,47.2,51.8,47%,53%,5.71,,,,,,,,,
OH,02,OH02,"Wenstrup, Brad",(R),43.7,54.7,44.3,54.2,45%,55%,8.31,,,,,,,,,
OH,03,OH03,"Beatty, Joyce",(D),69.7,28.9,67.4,31.3,69%,31%,16.49,,,,,,,,,
OH,04,OH04,"Jordan, Jim",(R),42,56,43.7,54.4,44%,56%,9.3,,,,,,,,,
OH,05,OH05,"Latta, Bob",(R),44.1,53.9,46,52.2,46%,54%,7.08,,,,,,,,,
OH,06,OH06,"Johnson, Bill",(R),42.7,55.2,44.7,53.1,45%,55%,8.34,,,,,,,,,
OH,07,OH07,"Gibbs, Bob",(R),44.2,53.7,46.9,50.9,47%,53%,6.45,,,,,,,,,
OH,08,OH08,,(R),36.4,61.9,38.1,60.3,38%,62%,15.13,,,,,,,,,
OH,09,OH09,"Kaptur, Marcy",(D),67.6,30.9,66.8,31.6,68%,32%,15.26,,,,,,,,,
OH,10,OH10,"Turner, Michael",(R),48.2,50.1,49.3,49.3,50%,50%,3.48,,,,,,,,,
OH,11,OH11,"Fudge, Marcia",(D),82.8,16.5,82,17.2,83%,17%,30.02,,,,,,,,,
OH,12,OH12,"Tiberi, Patrick",(R),43.9,54.4,44.8,53.7,45%,55%,7.93,,,,,,,,,
OH,13,OH13,"Ryan, Tim",(D),62.9,35.4,62.3,35.8,64%,36%,10.75,,,,,,,,,
OH,14,OH14,"Joyce, David",(R),47.6,50.9,49.1,49.4,49%,51%,3.91,,,,,,,,,
OH,15,OH15,"Stivers, Steve",(R),46.3,51.9,46.1,52.2,47%,53%,5.98,,,,,,,,,
OH,16,OH16,"Renacci, Jim",(R),45.2,53.4,47.2,51.3,47%,53%,6.12,,,,,,,,,
OK,01,OK01,"Bridenstine, Jim",(R),34.2,65.8,35.8,64.2,35%,65%,18,,,,,,,,,
OK,02,OK02,"Mullin, Markwayne",(R),32.2,67.8,34.3,65.7,33%,67%,19.75,,,,,,,,,
OK,03,OK03,"Lucas, Frank",(R),26.1,73.9,27.1,72.9,27%,73%,26.4,,,,,,,,,
OK,04,OK04,"Cole, Tom",(R),32.9,67.1,33.9,66.1,33%,67%,19.6,,,,,,,,,
OK,05,OK05,"Russell, Steve",(R),40.8,59.2,40.8,59.2,41%,59%,12.2,,,,,,,,,
OR,01,OR01,"Bonamici, Suzanne",(D),57.3,40,59.6,37.7,60%,40%,7.07,,,,,,,,,
OR,02,OR02,"Walden, Greg",(R),40.5,56.8,43.3,53.8,43%,57%,9.89,,,,,,,,,
OR,03,OR03,"Blumenauer, Earl",(D),72,24.7,72.9,24.3,75%,25%,21.73,,,,,,,,,
OR,04,OR04,"DeFazio, Peter",(D),51.7,45,54.2,42.7,55%,45%,1.7,,,,,,,,,
OR,05,OR05,"Schrader, Kurt",(D),50.5,47.1,53,44.2,53%,47%,0.13,,,,,,,,,
PA,01,PA01r,"Brady, Bob",(D),82.3,16.9,78.7,20.6,81%,19%,28.11,,,,,,,,,
PA,02,PA02r,"Fattah, Chaka",(D),90.4,9,91,8.8,91%,9%,38.06,,,,,,,,,
PA,03,PA03r,"Kelly, Mike",(R),43,55.6,46.3,52.3,45%,55%,7.72,,,,,,,,,
PA,04,PA04r,"Perry, Scott",(R),41.5,57.1,45.1,53.8,44%,56%,9.15,,,,,,,,,
PA,05,PA05r,"Thompson, Glenn",(R),41.5,57.1,47.1,51.5,45%,55%,8.07,,,,,,,,,
PA,06,PA06r,"Costello, Ryan",(R),48.1,50.6,53,46,51%,49%,1.86,,,,,,,,,
PA,07,PA07r,"Meehan, Pat",(R),48.5,50.4,51.2,47.8,50%,50%,2.62,,,,,,,,,
PA,08,PA08r,"Fitzpatrick, Michael",(R),49.3,49.4,53.2,45.7,52%,48%,1.13,,,,,,,,,
PA,09,PA09r,"Schuster, Bill",(R),35.9,62.8,40.9,57.9,39%,61%,14.11,,,,,,,,,
PA,10,PA10r,"Marino, Tom",(R),38.4,60.1,42.3,56.5,41%,59%,12.1,,,,,,,,,
PA,11,PA11r,"Barletta, Lou",(R),44.5,53.9,47.1,51.7,46%,54%,6.55,,,,,,,,,
PA,12,PA12r,"Rothfus, Keith",(R),40.9,57.8,44.7,54.1,43%,57%,9.66,,,,,,,,,
PA,13,PA13r,"Boyle, Brendan",(D),66.2,32.9,65.4,33.7,66%,34%,13.4,,,,,,,,,
PA,14,PA14r,"Doyle, Michael",(D),68,30.6,67,32,68%,32%,15.32,,,,,,,,,
PA,15,PA15r,"Dent, Charlie",(R),47.9,50.8,52.1,46.6,51%,49%,2.34,,,,,,,,,
PA,16,PA16r,"Pitts, Joe",(R),46.3,52.4,50.1,49,49%,51%,4.26,,,,,,,,,
PA,17,PA17r,"Cartwright, Matt",(D),55.4,43.3,56.9,41.9,57%,43%,3.86,,,,,,,,,
PA,18,PA18r,"Murphy, Tim",(R),41,57.9,43.8,55.2,43%,57%,10.15,,,,,,,,,
RI,01,RI01,"Cicilline, David",(D),66.2,32.2,66.6,31.8,67%,33%,14.48,,,,,,,,,
RI,02,RI02,"Langevin, Jim",(D),59.8,38.3,59.9,38.3,61%,39%,7.98,,,,,,,,,
SC,01,SC01,"Sanford, Mark",(R),40.2,58.3,42.7,56.1,42%,58%,10.98,,,,,,,,,
SC,02,SC02,"Wilson, Joe",(R),39.4,59.1,39.4,59.5,40%,60%,13.08,,,,,,,,,
SC,03,SC03,"Duncan, Jeff",(R),33.9,64.5,35.1,63.5,35%,65%,17.97,,,,,,,,,
SC,04,SC04,"Gowdy, Trey",(R),36.2,62.2,37.7,60.6,38%,62%,15.43,,,,,,,,,
SC,05,SC05,"Mulvaney, Mick",(R),43.6,55.1,43.8,55,44%,56%,8.75,,,,,,,,,
SC,06,SC06,"Clyburn, Jim",(D),70.9,28.1,70.1,28.9,71%,29%,18.21,,,,,,,,,
SC,07,SC07,"Rice, Tom",(R),44.4,54.5,45.3,53.6,45%,55%,7.65,,,,,,,,,
SD,1,SD01,"Noem, Kristi",(R),39.9,57.9,44.7,53.2,43%,57%,9.77,,,,,,,,,
TN,01,TN01,"Roe, Phil",(R),25.7,72.7,28.6,69.9,28%,72%,25.42,,,,,,,,,
TN,02,TN02,"Duncan, John",(R),30.9,67.3,34.5,64,33%,67%,19.75,,,,,,,,,
TN,03,TN03,"Fleischmann, Chuck",(R),35.1,63.3,37.3,61.3,37%,63%,16.25,,,,,,,,,
TN,04,TN04,"DesJarlais, Scott",(R),33.1,65.3,35.8,62.6,35%,65%,17.99,,,,,,,,,
TN,05,TN05,"Cooper, Jim",(D),55.9,42.5,57.5,41.3,58%,42%,4.51,,,,,,,,,
TN,06,TN06,"Black, Diane",(R),29.5,69.1,33.5,64.9,32%,68%,21.02,,,,,,,,,
TN,07,TN07,"Blackburn, Marsha",(R),32.9,65.7,36.3,62.4,35%,65%,17.93,,,,,,,,,
TN,08,TN08,"Fincher, Steve",(R),32.8,66.1,34.9,64.1,34%,66%,18.79,,,,,,,,,
TN,09,TN09,"Cohen, Steve",(D),78.3,20.9,77,22.5,78%,22%,25.16,,,,,,,,,
TX,01,TX01,"Gohmert, Louie",(R),27.5,71.6,30,69,29%,71%,23.97,,,,,,,,,
TX,02,TX02,"Poe, Ted",(R),35.6,62.9,37,62,37%,63%,16.24,,,,,,,,,
TX,03,TX03,"Johnson, Sam",(R),34.2,64.3,37,61,36%,64%,16.77,,,,,,,,,
TX,04,TX04,"Ratcliffe, John",(R),24.8,74,29,70,27%,73%,25.8,,,,,,,,,
TX,05,TX05,"Hensarling, Jeb",(R),34.4,64.5,37,62,36%,64%,16.92,,,,,,,,,
TX,06,TX06,"Barton, Joe",(R),40.8,57.9,42,57,42%,58%,11.12,,,,,,,,,
TX,07,TX07,"Culberson, John",(R),38.6,59.9,40,59,40%,60%,13.2,,,,,,,,,
TX,08,TX08,"Brady, Kevin",(R),21.7,77,26,73,24%,76%,28.87,,,,,,,,,
TX,09,TX09,"Green, Al",(D),78,21.1,76,23,78%,22%,24.74,,,,,,,,,
TX,10,TX10,"McCaul, Michael",(R),38.8,59.1,43,56,42%,58%,11.46,,,,,,,,,
TX,11,TX11,"Conaway, Michael",(R),19.6,79.2,23,76,22%,78%,31.46,,,,,,,,,
TX,12,TX12,"Granger, Kay",(R),31.7,66.8,35,64,34%,66%,19.23,,,,,,,,,
TX,13,TX13,"Thornberry, Mac",(R),18.5,80.2,22,77,20%,80%,32.51,,,,,,,,,
TX,14,TX14,"Weber, Randy",(R),39.5,59.3,42,57,41%,59%,11.8,,,,,,,,,
TX,15,TX15,"Hinojosa, Ruben",(D),57.4,41.5,57,42,58%,42%,4.81,,,,,,,,,
TX,16,TX16,"O'Rourke, Beto",(D),64.2,34.5,64,35,65%,35%,11.85,,,,,,,,,
TX,17,TX17,"Flores, Bill",(R),37.7,60.4,41,58,40%,60%,13.07,,,,,,,,,
TX,18,TX18,"Jackson-Lee, Sheila",(D),76.1,22.8,77,23,77%,23%,23.97,,,,,,,,,
TX,19,TX19,"Neugebauer, Randy",(R),25,73.6,28,71,27%,73%,26.18,,,,,,,,,
TX,20,TX20,"Castro, Joaquin",(D),58.9,39.7,58,41,59%,41%,6.16,,,,,,,,,
TX,21,TX21,"Smith, Lamar",(R),37.9,59.8,42,56,41%,59%,12.17,,,,,,,,,
TX,22,TX22,"Olson, Pete",(R),36.7,62.1,39,60,38%,62%,14.73,,,,,,,,,
TX,23,TX23,"Hurd, Will",(R),48.1,50.7,50,49,50%,50%,3.4,,,,,,,,,
TX,24,TX24,"Marchant, Kenny",(R),38,60.4,41,58,40%,60%,12.98,,,,,,,,,
TX,25,TX25,"Williams, Roger",(R),37.8,59.9,43,56,41%,59%,11.92,,,,,,,,,
TX,26,TX26,"Burgess, Michael",(R),30.7,67.6,35,64,33%,67%,19.7,,,,,,,,,
TX,27,TX27,"Farenthold, Blake",(R),38.2,60.5,40,59,40%,60%,13.45,,,,,,,,,
TX,28,TX28,"Cuellar, Henry",(D),60.3,38.7,58,41,60%,40%,6.75,,,,,,,,,
TX,29,TX29,"Green, Gene",(D),65.9,33,62,37,65%,35%,11.63,,,,,,,,,
TX,30,TX30,"Johnson, E.B.",(D),79.6,19.6,78,21,80%,20%,26.52,,,,,,,,,
TX,31,TX31,"Carter, John",(R),38.3,59.6,43,56,41%,59%,11.71,,,,,,,,,
TX,32,TX32,"Sessions, Pete",(R),41.5,57,44,55,43%,57%,9.71,,,,,,,,,
TX,33,TX33,"Veasey, Mark",(D),72,27.1,69,31,71%,29%,17.82,,,,,,,,,
TX,34,TX34,"Vela, Filemon",(D),60.8,38.3,60,39,61%,39%,7.98,,,,,,,,,
TX,35,TX35,"Doggett, Lloyd",(D),63,34.6,63,35,64%,36%,11.42,,,,,,,,,
TX,36,TX36,"Babin, Brian",(R),25.7,73.2,30,69,28%,72%,24.85,,,,,,,,,
UT,01,UT01,"Bishop, Rob",(R),20.4,77.4,29.4,67.7,26%,74%,27.45,,,,,,,,,
UT,02,UT02,"Stewart, Chris",(R),29.2,68,38.4,58.5,35%,65%,18.17,,,,,,,,,
UT,03,UT03,"Chaffetz, Jason",(R),19.5,78.3,29.5,67.5,25%,75%,27.85,,,,,,,,,
UT,04,UT04,"Love, Mia",(R),30.2,67.2,40.9,56.1,37%,63%,16.43,,,,,,,,,
VA,01,VA01,"Wittman, Rob",(R),45.6,53,46.9,52.3,47%,53%,6.24,,,,,,,,,
VA,02,VA02,"Rigell, Scott",(R),50.1,48.6,50.4,48.7,51%,49%,2.19,,,,,,,,,
VA,03,VA03,"Scott, Bobby",(D),79,20,78.5,20.9,79%,21%,26.39,,,,,,,,,
VA,04,VA04,"Forbes, Randy",(R),48.8,50.1,48.9,50.4,49%,51%,3.71,,,,,,,,,
VA,05,VA05,"Hurt, Robert",(R),45.9,52.5,47.9,51.1,48%,52%,5.48,,,,,,,,,
VA,06,VA06,"Goodlatte, Bob",(R),39.5,58.8,42,57,41%,59%,11.69,,,,,,,,,
VA,07,VA07,"Brat, Dave",(R),41.7,56.9,43.6,55.6,43%,57%,9.88,,,,,,,,,
VA,08,VA08,"Beyer, Don",(D),67.8,31,68.5,30.6,69%,31%,15.87,,,,,,,,,
VA,09,VA09,"Griffith, Morgan",(R),34.9,63.1,40.2,58.4,38%,62%,14.8,,,,,,,,,
VA,10,VA10,"Comstock, Barbara",(R),48.8,49.9,51,48.2,50%,50%,2.57,,,,,,,,,
VA,11,VA11,"Connolly, Gerry",(D),62.5,36.3,62.3,37,63%,37%,10,,,,,,,,,
VT,1,VT01,"Welch, Peter",(D),67,31.2,67.8,30.6,69%,31%,15.57,,,,,,,,,
WA,01,WA01,"DelBene, Suzan",(D),54.1,43.3,56.3,41.9,56%,44%,3.44,,,,,,,,,
WA,02,WA02,"Larsen, Rick",(D),59.2,38,60.5,37.6,61%,39%,8.29,,,,,,,,,
WA,03,WA03,"Herrera Beutler, Jaime",(R),47.9,49.6,50.9,47.1,51%,49%,2.46,,,,,,,,,
WA,04,WA04,"Newhouse, Dan",(R),37.9,59.7,39.2,58.9,39%,61%,13.6,,,,,,,,,
WA,05,WA05,"McMorris Rodgers, Cathy",(R),43.7,53.5,46.3,51.2,46%,54%,6.78,,,,,,,,,
WA,06,WA06,"Kilmer, Derek",(D),56.1,41.2,57,40.9,58%,42%,4.94,,,,,,,,,
WA,07,WA07,"McDermott, Jim",(D),79.2,18.1,80.4,18,82%,18%,28.55,,,,,,,,,
WA,08,WA08,"Reichert, David",(R),49.7,48.1,51.5,46.8,52%,48%,1.39,,,,,,,,,
WA,09,WA09,"Smith, Adam",(D),68.3,29.6,68.6,29.9,70%,30%,16.7,,,,,,,,,
WA,10,WA10,"Heck, Denny",(D),56.3,41.1,57.2,41,58%,42%,5.03,,,,,,,,,
WI,01,WI01,"Ryan, Paul",(R),47.4,51.6,50.8,48.1,50%,50%,3.38,,,,,,,,,
WI,02,WI02,"Pocan, Mark",(D),68.3,30.5,70.1,28.6,70%,30%,17.08,,,,,,,,,
WI,03,WI03,"Kind, Ron",(D),54.8,43.8,59.4,39.1,58%,42%,4.94,,,,,,,,,
WI,04,WI04,"Moore, Gwen",(D),75.3,23.8,74.4,24.6,76%,24%,22.57,,,,,,,,,
WI,05,WI05,"Sensenbrenner, Jim",(R),37.7,61.3,41.8,57.2,40%,60%,12.85,,,,,,,,,
WI,06,WI06,"Grothman, Glenn",(R),45.8,53.1,49.4,49.3,48%,52%,4.82,,,,,,,,,
WI,07,WI07,"Duffy, Sean",(R),47.8,50.9,53.2,45.3,51%,49%,1.78,,,,,,,,,
WI,08,WI08,"Ribble, Reid",(R),47.6,51.3,53.7,45,51%,49%,1.73,,,,,,,,,
WV,01,WV01,"McKinley, David",(R),35.5,62.2,41.5,56.7,39%,61%,13.69,,,,,,,,,
WV,02,WV02,"Mooney, Alex",(R),38,60,43.9,54.7,42%,58%,11.34,,,,,,,,,
WV,03,WV03,"Jenkins, Evan",(R),32.8,65,42.3,55.7,38%,62%,14.64,,,,,,,,,
WY,1,WY01,"Lummis, Cynthia",(R),27.6,68.2,32.7,65.2,31%,69%,21.87,,,,,,,,,
