#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,LAST NAME; FIRST,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %,GE RUNOFF,GE RUNOFF %,COMBINED GE PARTY TOTALS (NY; SC),COMBINED % (NY; SC),Notes (See Endnotes Tab)
1,Alabama,AL,1,H2AL01077,(I),Jo,Bonner,Bonner; Jo,,REP,Unopposed,,,,112944,0.681037862,,,,,
2,Alabama,AL,1,H6AL01052,,Vivian Sheffield,Beckerle,Beckerle; Vivian Sheffield,,DEM,Unopposed,,,,52770,0.318196345,,,,,
3,Alabama,AL,1,,,,Scattered,Scattered,,W,,,,,127,0.000765794,,,,,
4,Alabama,AL,1,,,,,,District Votes:,,,,,,165841,,,,,,
5,Alabama,AL,2,H2AL02067,(I),Terry,Everett,Everett; Terry,,REP,Unopposed,,,,124302,0.69473896,,,,,
6,Alabama,AL,2,H4AL02063,,Charles (Chuck) Dean,James,James; Charles (Chuck) Dean,,DEM,36058,0.705995223,,,54450,0.304327657,,,,,
7,Alabama,AL,2,H6AL02134,,John; Jr.,Morykwas,Morykwas; John; Jr.,,DEM,15016,0.294004777,,,,,,,,,
8,Alabama,AL,2,,,,,,Party Votes:,DEM,51074,,,,,,,,,,
9,Alabama,AL,2,,,,Scattered,Scattered,,W,,,,,167,0.000933383,,,,,
10,Alabama,AL,2,,,,,,District Votes:,,51074,,,,178919,,,,,,
11,Alabama,AL,3,H2AL03032,(I),Mike,Rogers,Rogers; Mike,,REP,Unopposed,,,,98257,0.594412617,,,,,
12,Alabama,AL,3,H6AL03140,,Greg A.,Pierce,Pierce; Greg A.,,DEM,Unopposed,,,,63559,0.384504631,,,,,
13,Alabama,AL,3,H6AL03132,,Mark Edwin,Layfield,Layfield; Mark Edwin,,IND,,,,,3414,0.020653233,,,,,
14,Alabama,AL,3,,,,Scattered,Scattered,,W,,,,,71,0.000429519,,,,,
15,Alabama,AL,3,,,,,,District Votes:,,,,,,165301,,,,,,
16,Alabama,AL,4,H6AL04098,(I),Robert B.,Aderholt,Aderholt; Robert B.,,REP,Unopposed,,,,128484,0.701822234,,,,,
17,Alabama,AL,4,H6AL04130,,Barbara,Bobo,Bobo; Barbara,,DEM,Unopposed,,,,54382,0.297052526,,,,,
18,Alabama,AL,4,,,,Scattered,Scattered,,W,,,,,206,0.00112524,,,,,
19,Alabama,AL,4,,,,,,District Votes:,,,,,,183072,,,,,,
20,Alabama,AL,5,H0AL05049,(I),Bud,Cramer,Cramer; Bud,,DEM,Unopposed,,,,143015,0.982549552,,,,,
21,Alabama,AL,5,,,,Scattered,Scattered,,W,,,,,2540,0.017450448,,,,,
22,Alabama,AL,5,,,,,,District Votes:,,,,,,145555,,,,,,
23,Alabama,AL,6,H2AL06035,(I),Spencer,Bachus,Bachus; Spencer,,REP,Unopposed,,,,163514,0.983247144,,,,,
24,Alabama,AL,6,,,,Scattered,Scattered,,W,,,,,2786,0.016752856,,,,,
25,Alabama,AL,6,,,,,,District Votes:,,,,,,166300,,,,,,
26,Alabama,AL,7,H0AL07060,(I),Artur,Davis,Davis; Artur,,DEM,93586,0.909096208,,,133870,0.990426445,,,,,
27,Alabama,AL,7,H6AL07166,,Eddison T.,Walters,Walters; Eddison T.,,DEM,9358,0.090903792,,,,,,,,,
28,Alabama,AL,7,,,,,,Party Votes:,DEM,102944,,,,,,,,,,
29,Alabama,AL,7,,,,Scattered,Scattered,,W,,,,,1294,0.009573555,,,,,
30,Alabama,AL,7,,,,,,District Votes:,,102944,,,,135164,,,,,,
31,Alabama,AL,H,,,,,,House Votes:,,154018,,,,1140152,,,,,,
32,Alaska,AK,0,H6AK00045,(I),Don E.,Young,Young; Don E.,,REP,81089,1,,,132743,0.565718426,,,,,
33,Alaska,AK,0,,,,,,Party Votes:,REP,81089,,,,,,,,,,
34,Alaska,AK,0,H6AK00144,,Diane E.,Benson,Benson; Diane E.,,DEM,19421,0.47866808,,,93879,0.400089497,,,,,
35,Alaska,AK,0,H6AK00169,,Ray ,Metcalfe,Metcalfe; Ray ,,DEM,16529,0.40738915,,,,,,,,,
36,Alaska,AK,0,H6AK00151,,Todd,Hyde,Hyde; Todd,,DEM,2482,0.061173687,,,,,,,,,
37,Alaska,AK,0,H6AK00136,,Frank,Vondersaar,Vondersaar; Frank,,DEM,2141,0.052769083,,,,,,,,,
38,Alaska,AK,0,,,,,,Party Votes:,DEM,40573,,,,,,,,,,
39,Alaska,AK,0,H6AK00193,,Alexander ,Crawford,Crawford; Alexander ,,LBT,3176,0.822158944,,,4029,0.017170619,,,,,
40,Alaska,AK,0,H6AK00201,,Sol L. ,Gerstenfeld,Gerstenfeld; Sol L. ,,LBT,687,0.177841056,,,,,,,,,
41,Alaska,AK,0,,,,,,Party Votes:,LBT,3863,,,,,,,,,,
42,Alaska,AK,0,H6AK00185,,Eva L.,Ince,Ince; Eva L.,,GRE,3620,1,,,1819,0.007752136,,,,,
43,Alaska,AK,0,,,,,,Party Votes:,GRE,3620,,,,,,,,,,
44,Alaska,AK,0,H6AK00219,,"William W. ""Bill""",Ratigan,"Ratigan; William W. ""Bill""",,IPN,,,,,1615,0.006882738,,,,,
45,Alaska,AK,0,,,,Scattered,Scattered,,W,,,,,560,0.002386584,,,,,
46,Alaska,AK,0,,,,,,District Votes:,,129145,,,,234645,,,,,,
47,Alaska,AK,H,,,,,,House Votes:,,129145,,,,234645,,,,,,
48,American Samoa,AS,0,H0AS00018,(I),Eni F.H. Faleomavaega,Hunkin,Hunkin; Eni F.H. Faleomavaega,,DEM,n/a,,,,5195,0.470860147,,,,,1
49,American Samoa,AS,0,H4AS00036,,Amata Aumua,Coleman,Coleman; Amata Aumua,,REP,n/a,,,,4493,0.407232847,,,,,1
50,American Samoa,AS,0,H6AS00023,,Muavaefaatasi Ae; Jr.,Ae,Ae; Muavaefaatasi Ae; Jr.,,IND,n/a,,,,1345,0.121907006,,,,,1
51,American Samoa,AS,0,,,,,,District Votes:,,,,,,11033,,,,,,1
52,American Samoa,AS,H,,,,,,House Votes:,,,,,,11033,,,,,,1
53,Arizona,AZ,S,S4AZ00030,(I),Jon ,Kyl,Kyl; Jon ,,REP,297636,0.999479501,,,814398,0.533408175,,,,,
54,Arizona,AZ,S,S6AZ00159,,Michael,Aloisi,Aloisi; Michael,,W(REP),155,0.000520499,,,,,,,,,
55,Arizona,AZ,S,,,,,,Party Votes:,REP,297791,,,,,,,,,,
56,Arizona,AZ,S,S6AZ00142,,Jim,Pederson,Pederson; Jim,,DEM,214455,,,,664141,0.434993994,,,,,
57,Arizona,AZ,S,,,,,,Party Votes:,DEM,214455,,,,,,,,,,
58,Arizona,AZ,S,S6AZ00175,,Richard,Mack,Mack; Richard,,LBT,3311,1,,,48231,0.031589972,,,,,
59,Arizona,AZ,S,,,,,,Party Votes:,LBT,3311,,,,,,,,,,
60,Arizona,AZ,S,S6AZ00183,,Stephen the Penny Man,Baker,Baker; Stephen the Penny Man,,W,,,,,7,4.58E-06,,,,,
61,Arizona,AZ,S,S6AZ00191,,Ray,Caplette,Caplette; Ray,,W,,,,,5,3.27E-06,,,,,
62,Arizona,AZ,S,,,,,,Senate Votes:,,515557,,,,1526782,,,,,,
63,Arizona,AZ,1,H2AZ01172,(I),Rick,Renzi,Renzi; Rick,,REP,37664,1,,,105646,0.517519925,,,,,
64,Arizona,AZ,1,,,,,,Party Votes:,REP,37664,,,,,,,,,,
65,Arizona,AZ,1,H6AZ00035,,Ellen,Simon,Simon; Ellen,,DEM,20273,0.527819001,,,88691,0.434463772,,,,,
66,Arizona,AZ,1,H6AZ01157,,Susan,Friedman,Friedman; Susan,,DEM,7062,0.183863157,,,,,,,,,
67,Arizona,AZ,1,H4AZ01129,,Bob,Donahue,Donahue; Bob,,DEM,5927,0.157365123,,,,,,,,,
68,Arizona,AZ,1,H6AZ01132,,Mike,Caccioppoli,Caccioppoli; Mike,,DEM,3635,0.096511257,,,,,,,,,
69,Arizona,AZ,1,H6AZ01140,,Vic,McKerlie,McKerlie; Vic,,DEM,1512,0.039365774,,,,,,,,,
70,Arizona,AZ,1,,,,,,Party Votes:,DEM,38409,,,,,,,,,,
71,Arizona,AZ,1,H6AZ01165,,David,Schlosser,Schlosser; David,,LBT,606,1,,,9802,0.048016303,,,,,
72,Arizona,AZ,1,,,,,,Party Votes:,LBT,606,,,,,,,,,,
73,Arizona,AZ,1,,,,,,District Votes:,,76679,,,,204139,,,,,,
74,Arizona,AZ,2,H4AZ04024,(I),Trent,Franks,Franks; Trent,,REP,51386,1,,,135150,0.586181471,,,,,
75,Arizona,AZ,2,,,,,,Party Votes:,REP,51386,,,,,,,,,,
76,Arizona,AZ,2,H6AZ02155,,John,Thrasher,Thrasher; John,,DEM,11521,0.467383367,,,89671,0.38892696,,,,,
77,Arizona,AZ,2,H0AZ03248,,Gene,Scharer,Scharer; Gene,,DEM,8462,0.343286004,,,,,,,,,
78,Arizona,AZ,2,H6AZ02163,,"Suchindran ""Chat""",Chatterjee,"Chatterjee; Suchindran ""Chat""",,DEM,4667,0.189330629,,,,,,,,,
79,Arizona,AZ,2,,,,,,Party Votes:,DEM,24650,,,,,,,,,,
80,Arizona,AZ,2,H4AZ02119,,Powell,Gammill,Gammill; Powell,,LBT,494,1,,,5734,0.024869882,,,,,
81,Arizona,AZ,2,H6AZ00027,,William,Crum,Crum; William,,W,,,,,5,2.17E-05,,,,,
82,Arizona,AZ,2,,,,,,Party Votes:,LBT,494,,,,,,,,,,
83,Arizona,AZ,2,,,,,,District Votes:,,76530,,,,230560,,,,,,
84,Arizona,AZ,3,H4AZ04016,(I),John,Shadegg,Shadegg; John,,REP,35763,1,,,112519,0.592676285,,,,,
85,Arizona,AZ,3,,,,,,Party Votes:,REP,35763,,,,,,,,,,
86,Arizona,AZ,3,H6AZ03146,,Herb,Paine,Paine; Herb,,DEM,7902,0.504179162,,,72586,0.382335435,,,,,
87,Arizona,AZ,3,H6AZ03153,,Don,Chilton,Chilton; Don,,DEM,7759,0.49505519,,,,,,,,,
88,Arizona,AZ,3,H6AZ03161,,Jim,McCoy,McCoy; Jim,,W(DEM),12,0.000765648,,,,,,,,,
89,Arizona,AZ,3,,,,,,Party Votes:,DEM,15673,,,,,,,,,,
90,Arizona,AZ,3,H4AZ04073,,Mark,Yannone,Yannone; Mark,,LBT,322,1,,,4744,0.02498828,,,,,
91,Arizona,AZ,3,,,,,,Party Votes:,LBT,322,,,,,,,,,,
92,Arizona,AZ,3,,,,,,District Votes:,,51758,,,,189849,,,,,,
93,Arizona,AZ,4,H2AZ02055,(I),Ed,Pastor,Pastor; Ed,,DEM,14833,1,,,56464,0.725189761,,,,,
94,Arizona,AZ,4,,,,,,Party Votes:,DEM,14833,,,,,,,,,,
95,Arizona,AZ,4,H2AZ04101,,Don,Karg,Karg; Don,,REP,7175,1,,,18627,0.23923402,,,,,
96,Arizona,AZ,4,,,,,,Party Votes:,REP,7175,,,,,,,,,,
97,Arizona,AZ,4,H6AZ04169,,Ronald,Harders,Harders; Ronald,,W(LBT)/LBT,12,1,,,2770,0.035576219,,,,,
98,Arizona,AZ,4,,,,,,Party Votes:,LBT,12,,,,,,,,,,
99,Arizona,AZ,4,,,,,,District Votes:,,22020,,,,77861,,,,,,
100,Arizona,AZ,5,H6AZ05067,,Harry,Mitchell,Mitchell; Harry,,DEM,20852,1,,,101838,0.504123558,,,,,
101,Arizona,AZ,5,,,,,,Party Votes:,DEM,20852,,,,,,,,,,
102,Arizona,AZ,5,H4AZ06052,(I),J.D.,Hayworth,Hayworth; J.D.,,REP,38275,1,,,93815,0.464407703,,,,,
103,Arizona,AZ,5,,,,,,Party Votes:,REP,38275,,,,,,,,,,
104,Arizona,AZ,5,H2AZ05124,,Warren,Severin,Severin; Warren,,LBT,387,1,,,6357,0.031468739,,,,,
105,Arizona,AZ,5,,,,,,Party Votes:,LBT,387,,,,,,,,,,
106,Arizona,AZ,5,,,,,,District Votes:,,59514,,,,202010,,,,,,
107,Arizona,AZ,6,H0AZ01184,(I),Jeff,Flake,Flake; Jeff,,REP,43199,1,,,152201,0.747967919,,,,,
108,Arizona,AZ,6,,,,,,Party Votes:,REP,43199,,,,,,,,,,
109,Arizona,AZ,6,H6AZ06040,,Jason M.,Blair,Blair; Jason M.,,W(LBT)/LBT,19,1,,,51285,0.252032081,,,,,
110,Arizona,AZ,6,,,,,,Party Votes:,LBT,19,,,,,,,,,,
111,Arizona,AZ,6,,,,,,District Votes:,,43218,,,,203486,,,,,,
112,Arizona,AZ,7,H2AZ07070,(I),Raul,Grijalva,Grijalva; Raul,,DEM,26604,1,,,80354,0.610940886,,,,,
113,Arizona,AZ,7,,,,,,Party Votes:,DEM,26604,,,,,,,,,,
114,Arizona,AZ,7,H6AZ07014,,Ron,Drake,Drake; Ron,,REP,10022,0.604208115,,,46498,0.353529747,,,,,
115,Arizona,AZ,7,H4AZ02010,,Joseph,Sweeney,Sweeney; Joseph,,REP,6565,0.395791885,,,,,,,,,
116,Arizona,AZ,7,,,,,,Party Votes:,REP,16587,,,,,,,,,,
117,Arizona,AZ,7,H6AZ07022,,Joe,Cobb,Cobb; Joe,,W(LBT)/LBT,13,1,,,4673,0.035529367,,,,,
118,Arizona,AZ,7,,,,,,Party Votes:,LBT,13,,,,,,,,,,
119,Arizona,AZ,7,,,,,,District Votes:,,43204,,,,131525,,,,,,
120,Arizona,AZ,8,H6AZ08038,,Gabrielle,Giffords,Giffords; Gabrielle,,DEM,33375,0.543487111,,,137655,0.542546902,,,,,
121,Arizona,AZ,8,H6AZ08061,,Patty,Weiss,Weiss; Patty,,DEM,19148,0.311810972,,,,,,,,,
122,Arizona,AZ,8,H6AZ08020,,"Jeffrey Lynn ""Jeff""",Latas,"Latas; Jeffrey Lynn ""Jeff""",,DEM,3687,0.060040059,,,,,,,,,
123,Arizona,AZ,8,H6AZ08095,,Alex,Rodriguez,Rodriguez; Alex,,DEM,2855,0.046491557,,,,,,,,,
124,Arizona,AZ,8,H6AZ08111,,"William ""Bill""",Johnson,"Johnson; William ""Bill""",,DEM,1768,0.028790568,,,,,,,,,
125,Arizona,AZ,8,H6AZ08046,,Francine,Shacter,Shacter; Francine,,DEM,576,0.009379733,,,,,,,,,
126,Arizona,AZ,8,,,,,,Party Votes:,DEM,61409,,,,,,,,,,
127,Arizona,AZ,8,H4AZ08017,,Randy,Graf,Graf; Randy,,REP,27063,0.422357825,,,106790,0.420897052,,,,,
128,Arizona,AZ,8,H6AZ08087,,Steve,Huffman,Huffman; Steve,,REP,24119,0.376412385,,,,,,,,,
129,Arizona,AZ,8,H6AZ08079,,Mike,Hellon,Hellon; Mike,,REP,8095,0.126334353,,,,,,,,,
130,Arizona,AZ,8,H6AZ08129,,Frank,Antenori,Antenori; Frank,,REP,2724,0.042512017,,,,,,,,,
131,Arizona,AZ,8,H6AZ08012,,Mike (Michael T.),Jenkins,Jenkins; Mike (Michael T.),,REP,2075,0.03238342,,,,,,,,,
132,Arizona,AZ,8,,,,,,Party Votes:,REP,64076,,,,,,,,,,
133,Arizona,AZ,8,H6AZ08137,,David F.,Nolan,Nolan; David F.,,LBT,516,1,,,4849,0.019111619,,,,,
134,Arizona,AZ,8,,,,,,Party Votes:,LBT,516,,,,,,,,,,
135,Arizona,AZ,8,H6AZ08103,,Jay,Quick,Quick; Jay,,IND,,,,,4408,0.017373483,,,,,
136,Arizona,AZ,8,H6AZ08145,,Russ,Dove,Dove; Russ,,W,,,,,7,2.76E-05,,,,,
137,Arizona,AZ,8,H6AZ08160,,Paul ,Price,Price; Paul ,,W,,,,,7,2.76E-05,,,,,
138,Arizona,AZ,8,H6AZ08152,,Leo F.; Sr.,Kimminau,Kimminau; Leo F.; Sr.,,W,,,,,4,1.58E-05,,,,,
139,Arizona,AZ,8,,,,,,District Votes:,,126001,,,,253720,,,,,,
140,Arizona,AZ,H,,,,,,House Votes:,,498924,,,,1493150,,,,,,
141,Arkansas,AR,1,H6AR01072,(I),Marion,Berry,Berry; Marion,,DEM,Unopposed,,,,127577,0.692645558,,,,,
142,Arkansas,AR,1,H6AR01106,,"Mickey ""Stubby""",Stumbaugh,"Stumbaugh; Mickey ""Stubby""",,REP,Unopposed,,,,56611,0.307354442,,,,,
143,Arkansas,AR,1,,,,,,District Votes:,,,,,,184188,,,,,,
144,Arkansas,AR,2,H6AR02203,(I),Vic,Snyder,Snyder; Vic,,DEM,Unopposed,,,,124871,0.605279613,,,,,
145,Arkansas,AR,2,H6AR02229,,Andy,Mayberry,Mayberry; Andy,,REP,12460,0.773048765,,,81432,0.394720387,,,,,
146,Arkansas,AR,2,H6AR02237,,Tom,Formicola,Formicola; Tom,,REP,3658,0.226951235,,,,,,,,,
147,Arkansas,AR,2,,,,,,Party Votes:,REP,16118,,,,,,,,,,
148,Arkansas,AR,2,,,,,,District Votes:,,16118,,,,206303,,,,,,
149,Arkansas,AR,3,H2AR03176,(I),John,Boozman,Boozman; John,,REP,Unopposed,,,,125039,0.622319882,,,,,
150,Arkansas,AR,3,H6AR03086,,Woodrow,Anderson,Anderson; Woodrow,,DEM,Unopposed,,,,75885,0.377680118,,,,,
151,Arkansas,AR,3,,,,,,District Votes:,,,,,,200924,,,,,,
152,Arkansas,AR,4,H0AR04038,(I),Mike,Ross,Ross; Mike,,DEM,Unopposed,,,,128236,0.747313457,,,,,
153,Arkansas,AR,4,H6AR04068,,Joe,Ross,Ross; Joe,,REP,Unopposed,,,,43360,0.252686543,,,,,
154,Arkansas,AR,4,,,,,,District Votes:,,,,,,171596,,,,,,
155,Arkansas,AR,H,,,,,,House Votes:,,16118,,,,763011,,,,,,
156,California,CA,S,S0CA00199,(I),Dianne,Feinstein,Feinstein; Dianne,,DEM,2176888,0.869583349,,,5076289,0.594310515,,,,,
157,California,CA,S,S6CA00527,,Colleen ,Fernald,Fernald; Colleen ,,DEM,199180,0.079564779,,,,,,,,,
158,California,CA,S,S6CA00519,,Martin Luther,Church,Church; Martin Luther,,DEM,127301,0.050851872,,,,,,,,,
159,California,CA,S,,,,,,Party Votes:,DEM,2503369,,,,,,,,,,
160,California,CA,S,S6CA00501,,"Richard ""Dick""",Mountjoy,"Mountjoy; Richard ""Dick""",,REP,1560472,1,,,2990822,0.350152831,,,,,
161,California,CA,S,,,,,,Party Votes:,REP,1560472,,,,,,,,,,
162,California,CA,S,S6CA00485,,Todd ,Chretien,Chretien; Todd ,,GRE,12821,0.46138621,,,147074,0.017218804,,,,,
163,California,CA,S,S6CA00535,,Tian ,Harter,Harter; Tian ,,GRE,10318,0.371311357,,,,,,,,,
164,California,CA,S,S6CA00543,,Kent P.,Mesplay,Mesplay; Kent P.,,GRE/W,4649,0.167302433,,,160,1.87E-05,,,,,
165,California,CA,S,,,,,,Party Votes:,GRE,27788,,,,,,,,,,
166,California,CA,S,S6CA00550,,Michael S.,Metti,Metti; Michael S.,,LBT,16742,1,,,133851,0.015670711,,,,,
167,California,CA,S,,,,,,Party Votes:,LBT,16742,,,,,,,,,,
168,California,CA,S,S4CA00357,,Marsha ,Feinland,Feinland; Marsha ,,PAF,4109,1,,,117764,0.013787313,,,,,
169,California,CA,S,,,,,,Party Votes:,PAF,4109,,,,,,,,,,
170,California,CA,S,S4CA00332,,Don J.,Grundmann,Grundmann; Don J.,,AIP,30787,1,,,75350,0.00882166,,,,,
171,California,CA,S,,,,,,Party Votes:,AIP,30787,,,,,,,,,,
172,California,CA,S,,,Jeffrey,Mackler,Mackler; Jeffrey,,W,,,,,108,1.26E-05,,,,,
173,California,CA,S,,,Lea,Sherman,Sherman; Lea,,W,,,,,47,5.50E-06,,,,,
174,California,CA,S,,,Connor,Vlakancic,Vlakancic; Connor,,W,,,,,11,1.29E-06,,,,,
175,California,CA,S,,,,,,Senate Votes:,,4143267,,,,8541476,,,,,,
176,California,CA,1,H8CA01109,(I),Mike ,Thompson,Thompson; Mike ,,DEM,79138,1,,,144409,0.662292932,,,,,
177,California,CA,1,,,,,,Party Votes:,DEM,79138,,,,,,,,,,
178,California,CA,1,H6CA01152,,John W.,Jones,Jones; John W.,,REP,41953,1,,,63194,0.289822238,,,,,
179,California,CA,1,,,,,,Party Votes:,REP,41953,,,,,,,,,,
180,California,CA,1,H0CA01130,,Pamela,Elizondo,Elizondo; Pamela ,,GRE,2952,1,,,6899,0.031640403,,,,,
181,California,CA,1,,,,,,Party Votes:,GRE,2952,,,,,,,,,,
182,California,CA,1,H6CA001160,,Timothy J.,Stock,Stock; Timothy J.,,PAF,168,1,,,3503,0.016065565,,,,,
183,California,CA,1,,,,,,Party Votes:,PAF,168,,,,,,,,,,
184,California,CA,1,,,Carol,Wolman,Wolman; Carol,,W,,,,,39,0.000178863,,,,,
185,California,CA,1,,,,,,District Votes:,,124211,,,,218044,,,,,,
186,California,CA,2,H6CA02010,(I),Wally ,Herger,Herger; Wally ,,REP,69669,1,,,134911,0.641815967,,,,,
187,California,CA,2,,,,,,Party Votes:,REP,69669,,,,,,,,,,
188,California,CA,2,H4CA02072,,A. J.,Sekhon,Sekhon; A. J.,,DEM,23663,0.55008485,,,68234,0.324611564,,,,,
189,California,CA,2,H6CA02192,,Bill ,Falzett,Falzett; Bill ,,DEM,19311,0.448915545,,,,,,,,,
190,California,CA,2,H6CA02218,,Robert,Seals,Seals; Robert,,W(DEM),43,0.000999605,,,,,,,,,
191,California,CA,2,,,,,,Party Votes:,DEM,43017,,,,,,,,,,
192,California,CA,2,H6CA02200,,E. Kent,Hinesley,Hinesley; E. Kent,,LBT,570,1,,,7057,0.033572468,,,,,
193,California,CA,2,,,,,,Party Votes:,LBT,570,,,,,,,,,,
194,California,CA,2,,,,,,District Votes:,,113256,,,,210202,,,,,,
195,California,CA,3,H6CA34112,(I),Dan,Lungren,Lungren; Dan,,REP,56968,1,,,135709,0.594774049,,,,,
196,California,CA,3,,,,,,Party Votes:,REP,56968,,,,,,,,,,
197,California,CA,3,H6CA03091,,Bill,Durston,Durston; Bill,,DEM,42980,1,,,86318,0.378307307,,,,,
198,California,CA,3,,,,,,Party Votes:,DEM,42980,,,,,,,,,,
199,California,CA,3,H8CA05134,,Douglas Arthur,Tuma,Tuma; Douglas Arthur,,LBT,465,1,,,3772,0.016531606,,,,,
200,California,CA,3,,,,,,Party Votes:,LBT,465,,,,,,,,,,
201,California,CA,3,H6CA03109,,Michael,Roskey,Roskey; Michael,,PAF,83,1,,,2370,0.010387038,,,,,
202,California,CA,3,,,,,,Party Votes:,PAF,83,,,,,,,,,,
203,California,CA,3,,,,,,District Votes:,,100496,,,,228169,,,,,,
204,California,CA,4,H0CA14042,(I),John T.,Doolittle,Doolittle; John T.,,REP,63731,0.671609075,,,135818,0.490507163,,,,,
205,California,CA,4,H6CA04107,,J.M. (Mike),Holmes,Holmes; J.M. (Mike),,REP,31162,0.328390925,,,,,,,,,
206,California,CA,4,,,,,,Party Votes:,REP,94893,,,,,,,,,,
207,California,CA,4,H6CA04123,,Charlie,Brown,Brown; Charlie,,DEM,26241,0.462934867,,,126999,0.458657315,,,,,
208,California,CA,4,H6CA04115,,Lisa,Rea,Rea; Lisa,,DEM,19038,0.335861972,,,,,,,,,
209,California,CA,4,H6CA04149,,Michael ,Hamersley,Hamersley; Michael ,,DEM,11405,0.201203161,,,,,,,,,
210,California,CA,4,,,,,,Party Votes:,DEM,56684,,,,,,,,,,
211,California,CA,4,H6CA04131,,Dan ,Warren,Warren; Dan ,,LBT,672,1,,,14076,0.050835521,,,,,
212,California,CA,4,,,,,,Party Votes:,LBT,672,,,,,,,,,,
213,California,CA,4,,,,,,District Votes:,,152249,,,,276893,,,,,,
214,California,CA,5,H6CA05195,(I),Doris O.,Matsui,Matsui; Doris O.,,DEM,52951,1,,,105676,0.707971005,,,,,
215,California,CA,5,,,,,,Party Votes:,DEM,52951,,,,,,,,,,
216,California,CA,5,H6CA05328,,Claire,Yan,Yan; Claire,,REP,19005,1,,,35106,0.235190867,,,,,
217,California,CA,5,,,,,,Party Votes:,REP,19005,,,,,,,,,,
218,California,CA,5,H6CA05310,,Jeff ,Kravitz,Kravitz; Jeff ,,GRE,720,1,,,6466,0.043318639,,,,,
219,California,CA,5,,,,,,Party Votes:,GRE,720,,,,,,,,,,
220,California,CA,5,H4CA05240,,John C.,Reiger,Reiger; John C.,,PAF,186,1,,,2018,0.013519489,,,,,
221,California,CA,5,,,,,,Party Votes:,PAF,186,,,,,,,,,,
222,California,CA,5,,,,,,District Votes:,,72862,,,,149266,,,,,,
223,California,CA,6,H2CA01045,(I),Lynn ,Woolsey,Woolsey; Lynn ,,DEM,72058,0.661604569,,,173190,0.702231701,,,,,
224,California,CA,6,H2CA06101,,Joe,Nation,Nation; Joe,,DEM,36845,0.338294434,,,,,,,,,
225,California,CA,6,H6CA06193,,Mike ,Halliwell,Halliwell; Mike ,,W(DEM),11,0.000100997,,,,,,,,,
226,California,CA,6,,,,,,Party Votes:,DEM,108914,,,,,,,,,,
227,California,CA,6,H6CA06185,,Todd,Hooper,Hooper; Todd,,REP,19448,0.573805801,,,64405,0.261142287,,,,,
228,California,CA,6,H6CA06193,,Mike ,Halliwell,Halliwell; Mike ,,REP/W,14445,0.426194199,,,5,2.03E-05,,,,,
229,California,CA,6,,,,,,Party Votes:,REP,33893,,,,,,,,,,
230,California,CA,6,H6CA06201,,Richard W.,Friesen,Friesen; Richard W.,,LBT,659,1,,,9028,0.036605738,,,,,
231,California,CA,6,,,,,,Party Votes:,LBT,659,,,,,,,,,,
232,California,CA,6,,,,,,District Votes:,,143466,,,,246628,,,,,,
233,California,CA,7,H6CA07043,(I),George ,Miller,Miller; George ,,DEM,57308,1,,,118000,0.839941346,,,,,
234,California,CA,7,,,,,,Party Votes:,DEM,57308,,,,,,,,,,
235,California,CA,7,H6CA07118,,Camden,McConnell,McConnell; Camden,,LBT,333,1,,,22486,0.160058654,,,,,
236,California,CA,7,,,,,,Party Votes:,LBT,333,,,,,,,,,,
237,California,CA,7,,,,,,District Votes:,,57641,,,,140486,,,,,,
238,California,CA,8,H8CA05035,(I),Nancy ,Pelosi,Pelosi; Nancy ,,DEM,77976,1,,,148435,0.803920082,,,,,
239,California,CA,8,,,,,,Party Votes:,DEM,77976,,,,,,,,,,
240,California,CA,8,H6CA08140,,Mike ,DeNunzio,DeNunzio; Mike ,,REP,7260,0.757907924,,,19800,0.107236283,,,,,
241,California,CA,8,H6CA08157,,Eve Del,Castello,Castello; Eve Del,,REP,2319,0.242092076,,,,,,,,,
242,California,CA,8,,,,,,Party Votes:,REP,9579,,,,,,,,,,
243,California,CA,8,H6CA08165,,Krissy,Keefer,Keefer; Krissy,,GRE,2647,1,,,13653,0.073944291,,,,,
244,California,CA,8,,,,,,Party Votes:,GRE,2647,,,,,,,,,,
245,California,CA,8,H6CA08173,,Philip Zimt,Berg,Berg; Philip Zimt,,LBT,381,1,,,2751,0.014899344,,,,,
246,California,CA,8,,,,,,Party Votes:,LBT,381,,,,,,,,,,
247,California,CA,8,,,,,,District Votes:,,90583,,,,184639,,,,,,
248,California,CA,9,H8CA09060,(I),Barbara ,Lee,Lee; Barbara ,,DEM,97874,1,,,167245,0.863485229,,,,,
249,California,CA,9,,,,,,Party Votes:,DEM,97874,,,,,,,,,,
250,California,CA,9,H6CA09080,,"John ""J.D."" ",den Dulk,"den Dulk; John ""J.D."" ",,REP,9350,1,,,20786,0.10731803,,,,,
251,California,CA,9,,,,,,Party Votes:,REP,9350,,,,,,,,,,
252,California,CA,9,H2CA09097,,James,Eyer,Eyer; James,,LBT,318,1,,,5655,0.029196741,,,,,
253,California,CA,9,,,,,,Party Votes:,LBT,318,,,,,,,,,,
